County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng,CountyName,State
"Jefferson County, MS",288.3733124,0,1,0,21,12,30,0,1,7629,4.05,4.0,1.7837837837837838,50,31.590449959875432,-91.35570466746998,Jefferson County,MS
"Upshur County, TX",288.3361749,1,11,11,92,345,616,56,3,39884,3.5625,4.0,1.0714285714285714,24,32.73288581996107,-94.94547230503815,Upshur County,TX
"Yellowstone County, MT",288.0087181,3,40,73,328,975,4176,488,25,154162,3.25,4.0,1.5,6,45.914050790944394,-108.2577774313425,Yellowstone County,MT
"Blaine County, MT",287.7044216,0,1,0,18,3,22,2,0,6604,3.6666666666666665,3.5,1.5416666666666667,39,48.536946387593034,-109.60798550941385,Blaine County,MT
"Crawford County, MI",287.68699649999996,0,11,1,28,84,136,8,2,13904,3.5609756097560976,4.0,1.4074074074074074,41,44.65663285333103,-84.69528949172802,Crawford County,MI
"Miller County, GA",286.5812542,0,1,1,15,27,79,11,1,5932,3.4166666666666665,3.5,1.0,6,31.140807678235532,-84.77381545677456,Miller County,GA
"Kit Carson County, CO",286.176434,0,4,0,19,15,84,7,0,8037,4.4,5.0,1.0,5,39.29695315654942,-102.6035970113732,Kit Carson County,CO
"Greene County, IL",286.15452339999996,0,1,0,38,48,85,1,1,13629,3.8181818181818175,4.5,1.25,11,39.29777187303159,-90.40097103065573,Greene County,IL
"Allen County, IN",285.3884423,24,105,469,438,2308,8185,518,64,363014,4.21,4.0,1.78,50,41.09591654871368,-85.12105415575849,Allen County,IN
"Richland County, MT",285.3575887,0,1,2,29,50,153,26,1,11214,3.2575757575757582,3.5,1.6666666666666667,33,47.830525187153825,-104.27250520743164,Richland County,MT
"Warren County, MO",284.8571169,0,5,4,85,170,619,29,5,32999,3.1129032258064515,3.0,1.4347826086956519,31,38.82202101811829,-91.15339546083584,Warren County,MO
"Hancock County, TN",284.4737236,0,2,0,17,47,132,8,1,6679,3.25,3.75,1.5,6,36.48676416905422,-83.13799429856786,Hancock County,TN
"Elmore County, AL",284.2945786,4,23,44,159,665,1367,85,14,80902,3.4069767441860463,3.5,1.28125,43,32.793707705606025,-85.8953896935732,Elmore County,AL
"Chippewa County, MI",284.2671077,1,17,1,91,126,462,27,5,38696,3.7142857142857135,4.0,2.0,7,46.31129381577399,-84.98255167629964,Chippewa County,MI
"Donley County, TX",283.9295855,0,0,0,10,12,18,4,0,3522,3.7777777777777777,4.5,1.5,9,34.93895311078405,-100.88982729330122,Donley County,TX
"Washington County, IL",283.7763012000001,0,0,1,40,30,69,0,0,14448,3.6875,4.0,1.1764705882352942,24,38.36999018783164,-89.42276946676618,Washington County,IL
